County,City,School_district,Ranking,Grade
Santa Clara,Los Gatos,Los Gatos-Saratoga Joint Union High School District,1,A+
Santa Clara,Palo Alto,Palo Alto Unified School District,2,A+
Monterey,Carmel,Carmel Unified School District,3,A+
Los Angeles,San Marino,San Marino Unified School District,4,A+
Santa Clara,Mountain View,Mountain View-Los Altos Union High School District,5,A+
San Diego,Encinitas,San Dieguito Union High School District,6,A+
Los Angeles,La Canada,La Canada Unified School District,7,A+
Los Angeles,Arcadia,Arcadia Unified School District,8,A+
Los Angeles,Palos Verdes Estates,Palos Verdes Peninsula Unified School District,9,A+
Marin,Larkspur,Tamalpais Union High School District,10,A+
Alameda,Pleasanton,Pleasanton Unified School District,11,A+
Santa Clara,Sunnyvale,Fremont Union High School District,12,A+
Orange,Irvine,Irvine Unified School District,13,A+
Los Angeles,South Pasadena,South Pasadena Unified School District,14,A+
Contra Costa,Lafayette,Acalanes Union High School District,15,A+
Alameda,Piedmont,Piedmont City Unified School District,16,A+
Los Angeles,Redondo Beach,Redondo Beach Unified School District,17,A+
Orange,Laguna Beach,Laguna Beach Unified School District,18,A+
Los Angeles,Santa Monica,Santa Monica-Malibu Unified School District,19,A+
San Mateo,San Mateo,San Mateo Union High School District,20,A+
Los Angeles,Walnut,Walnut Valley Unified School District,21,A+
Los Angeles,Manhattan Beach,Manhattan Beach Unified School District,22,A+
Ventura,Oak Park,Oak Park Unified School District,23,A+
Orange,Los Alamitos,Los Alamitos Unified School District,24,A+
Los Angeles,Temple City,Temple City Unified School District,25,A+
Contra Costa,Danville,San Ramon Valley Unified School District,26,A+
Alameda,Dublin,Dublin Unified School District,27,A+
Los Angeles,Beverly Hills,Beverly Hills Unified School District,28,A+
Monterey,Pacific Grove,Pacific Grove Unified School District,29,A+
San Diego,San Diego,Poway Unified School District,30,A+
San Diego,Coronado,Coronado Unified School District,31,A+
Los Angeles,El Segundo,El Segundo Unified School District,32,A+
Napa,St. Helena,Saint Helena Unified School District,33,A+
Orange,Placentia,Placentia-Yorba Linda Unified School District,34,A+
Ventura,Thousand Oaks,Conejo Valley Unified School District,35,A+
Yolo,Davis,Davis Joint Unified School District,36,A+
Los Angeles,Culver City,Culver City Unified School District,37,A+
San Diego,Carlsbad,Carlsbad Unified School District,38,A+
Los Angeles,Santa Clarita,William S. Hart Union High School District,39,A+
Orange,Huntington Beach,Huntington Beach Union High School District,40,A
San Mateo,Redwood City,Sequoia Union High School District,41,A
Alameda,Berkeley,Albany City Unified School District,42,A
Los Angeles,Torrance,Torrance Unified School District,43,A
Los Angeles,Glendora,Glendora Unified School District,44,A
Placer,Auburn,Placer Union High School District,45,A
Los Angeles,Calabasas,Las Virgenes Unified School District,46,A
Placer,Roseville,Roseville Joint Union High School District,47,A
Orange,San Juan Capistrano,Capistrano Unified School District,48,A
